高中	high school	gāo zhōng	我 哥哥 在 上 高中 。	wǒ gēge zài shàng gāozhōng.	My older brother is in high school.
听听	to listen; to hear	tīng ting	你 来 听听 这 首 歌 。	nǐ lái tīngting zhè shǒu gē.	Come listen to this song.
正好	just right; just in time	zhèng hǎo	你 来 得 正好 ， 我们 要 去 吃饭 。	nǐ lái de zhènghǎo, wǒmen yào qù chīfàn.	You came just in time; we're about to eat.
州	state; province	zhōu	他 住 在 美 国 哪 个 州 ？	tā zhù zài Měiguó nǎ ge zhōu?	Which state does he live in in the United States?
毫无	not in the least; completely without	háo wú	他 毫无 办法 。	tā háowú bànfǎ.	He has absolutely no solution.
提醒	to remind; to warn	tí xǐng	请 提醒 我 明天 给 妈妈 打电话 。	qǐng tíxǐng wǒ míngtiān gěi māma dǎ diànhuà.	Please remind me to call my mother tomorrow.
旅行	to travel; trip	lǚ xíng	我 喜欢 去 不同 的 国家 旅行 。	wǒ xǐhuan qù bùtóng de guójiā lǚxíng.	I like to travel to different countries.
惊喜	pleasant surprise	jīng xǐ	这 真 是 一 个 惊喜 ！	zhè zhēn shì yī gè jīngxǐ!	This is really a pleasant surprise!
拿走	to take away	ná zǒu	请 你 走 的 时候 ， 把 你 的 东西 都 拿走 。	qǐng nǐ zǒu de shíhou, bǎ nǐ de dōngxi dōu názǒu.	Please take all your things with you when you go.
接近	to be close to; to approach	jiē jìn	我们 终于 接近 目标 了 ！	wǒmen zhōngyú jiējìn mùbiāo le!	We are finally approaching the goal!
逮捕	to arrest	dài bǔ	他 因 偷 钱包 而 被 逮捕 。	tā yīn tōu qiánbāo ér bèi dàibǔ.	He was arrested for stealing a wallet.
吵	noisy; to quarrel	chǎo	外面 太 吵 了 ！	wàimian tài chǎo le!	It's too noisy outside!
激动	excited; to agitate	jī dòng	他 听到 这 个 消息 很 激动 。	tā tīngdào zhè ge xiāoxi hěn jīdòng.	He was very excited to hear this news.
骄傲	proud; arrogant	jiāo ào	我 为 你 感到 骄傲 。	wǒ wèi nǐ gǎndào jiāo'ào.	I am proud of you.
而是	but rather	ér shì	这 不 是 我 的 书 ， 而是 我 弟弟 的 。	zhè bù shì wǒ de shū, érshì wǒ dìdi de.	This is not my book, but rather my younger brother's.
利	advantage; benefit; profit	lì	这 对 你 有 利 。	zhè duì nǐ yǒulì.	This is beneficial to you.
牌	card; plate; signboard	pái	你 会 玩 牌 吗 ？	nǐ huì wán pái ma?	Do you know how to play cards?
成员	member	chéng yuán	他 是 我们 学校 读书 俱乐部 的 成员 。	tā shì wǒmen xuéxiào dúshū jùlèbù de chéngyuán.	He is a member of our school's reading club.
女性	female; woman	nǚ xìng	这 是 为 女性 设计 的 。	zhè shì wèi nǚxìng shèjì de.	This is designed for women.
权利	right; privilege	quán lì	每 个 人 都 有 说话 的 权利 。	měi gè rén dōu yǒu shuōhuà de quánlì.	Everyone has the right to speak.
说谎	to lie; to tell a lie	shuō huǎng	不要 对 我 说谎 ！	bùyào duì wǒ shuōhuǎng!	Don't lie to me!
法国	France	Fǎ guó	我 的 一 个 朋友 去 了 法国 。	wǒ de yī gè péngyou qù le Fǎguó.	A friend of mine went to France.
毛	hair; fur; feather	máo	这 只 猫 的 毛 很 长 。	zhè zhī māo de máo hěn cháng.	This cat's fur is very long.
错过	to miss (an opportunity, etc.)	cuò guò	我 错过 了 火车 。	wǒ cuòguò le huǒchē.	I missed the train.
警告	to warn; warning	jǐng gào	医生 警告 他 不要 喝酒 。	yīshēng jǐnggào tā bùyào hējiǔ.	The doctor warned him not to drink alcohol.
老天	God; Heavens	lǎo tiān	老天 ！ 这 是 怎么 了 ？	lǎotiān! Zhè shì zěnme le?	Good heavens! What happened?
吉	lucky; auspicious	jí	今天 是 一 个 很 吉 的 日子 。	jīntiān shì yī ge hěn jí de rìzi.	Today is a very lucky day.
惹	to provoke; to cause (trouble)	rě	他 现在 很 生气 ， 别 去 惹 他 。	tā xiànzài hěn shēngqì, bié qù rě tā.	He is very angry now; don't provoke him.
酒店	hotel	jiǔ diàn	我 在 北京 的 一 家 酒店 住 了 两 个 星期 。	wǒ zài Běijīng de yī jiā jiǔdiàn zhù le liǎng gè xīngqī.	I stayed in a hotel in Beijing for two weeks.
抽	to draw out; to smoke (a cigarette, etc.)	chōu	我 每天 都 会 抽 一些 时间 来 阅读 。	wǒ měitiān dū huì chōu yīxiē shíjiān lái yuèdú.	I take some time every day to read.
之类	and so on; and the like	zhī lèi	我 喜欢 运动 ， 足球 、 篮球 之类 的 。	wǒ xǐhuan yùndòng, zúqiú, lánqiú zhīlèi de.	I like sports, such as soccer, basketball, and the like.
word	word_meaning	word_pinyin	sentence	sentence_pinyin	sentence_meaning
王	king; a surname	wáng	王 先生 是 我 的 汉语 老师 。	Wáng xiānsheng shì wǒ de Hànyǔ lǎoshī.	Mr. Wang is my Chinese teacher.
冠军	champion	guàn jūn	他 赢得 了 比赛 冠军 。	tā yíngdé le bǐsài guànjūn.	He won the championship of the competition.
尝试	to try; to attempt	cháng shì	我 想 尝试 一下 这 个 菜 。	wǒ xiǎng chángshì yīxià zhè ge cài.	I want to try this dish.
教练	coach; instructor	jiào liàn	他 是 我 的 篮球 教练 。	tā shì wǒ de lánqiú jiàoliàn.	He is my basketball coach.
常	often; usually; common	cháng	我 不 常 去 那 家 饭馆 吃饭 。	wǒ bù cháng qù nà jiā fànguǎn chīfàn.	I don't often eat at that restaurant.
随时	at any time	suí shí	你 随时 可以 来 找 我 。	nǐ suíshí kěyǐ lái zhǎo wǒ.	You can come find me at any time.
敌人	enemy	dí rén	他 认为 我 是 他 的 敌人 。	tā rènwéi wǒ shì tā de dírén.	He considers me his enemy.
搭档	partner; to team up	dā dàng	我们 两 个 人 搭档 怎么样 ？	wǒmen liǎng ge rén dādàng zěnmeyàng?	How about the two of us partner up?
从未	never (have done something)	cóng wèi	我 从未 去 过 美国 。	wǒ cóngwèi qù guo Měiguó.	I have never been to America.
谈话	conversation; to talk	tán huà	我 想 和 你 谈话 。	wǒ xiǎng hé nǐ tánhuà.	I want to have a conversation with you.
度	degree; extent; measure	dù	今天 三十 度 。	jīntiān sānshí dù.	It's thirty degrees today.
背	back (of the body or an object)	bèi	我 的 背 很 痛 。	wǒ de bèi hěn tòng.	My back hurts a lot.
排	to arrange; to line up; row; line	pái	请 大家 排 好 。	qǐng dàjiā pái hǎo.	Please everyone, line up properly.
约翰	John (name)	Yuē hàn	约翰 是 一 个 美国 名字 。	Yuēhàn shì yī gè Měiguó míngzi.	John is an American name.
许多	many; a great deal of	xǔ duō	我 有 许多 问题 想 问 你 。	wǒ yǒu xǔduō wèntí xiǎng wèn nǐ.	I have many questions I want to ask you.
人物	figure; personage; character (in a play, etc.)	rén wù	这 部 电影 里 有 很 多 有意思 的 人物 。	zhè bù diànyǐng lǐ yǒu hěn duō yǒuyìsi de rénwù.	There are many interesting characters in this movie.
叫做	to be called; to be known as	jiào zuò	这 个 东西 在 中国 叫做 什么 ？	zhè ge dōngxi zài Zhōngguó jiàozuò shénme?	What is this thing called in China?
猪	pig	zhū	我 不 吃 猪 肉 。	wǒ bù chī zhūròu.	I don't eat pork.
感激	to be grateful; to appreciate	gǎn jī	我 很 感激 你 的 帮助 。	wǒ hěn gǎnjī nǐ de bāngzhù.	I am very grateful for your help.
随	to follow; to comply with	suí	请 随 我 来 。	qǐng suí wǒ lái.	Please follow me.
牛	cow; ox	niú	那 头 牛 很 大 。	nà tóu niú hěn dà.	That cow is very big.
瓶	bottle; vase	píng	这 个 瓶子 里 有 水 。	zhè ge píngzi lǐ yǒu shuǐ.	There is water in this bottle.
顺利	smoothly; without a hitch	shùn lì	希望 你 一切顺利 ！	xīwàng nǐ yīqiè shùnlì!	I hope everything goes smoothly for you!
傻瓜	fool	shǎ guā	不要 做 傻瓜 ！	bùyào zuò shǎguā!	Don't be a fool!
嫁	(of a woman) to marry	jià	她 嫁 了 一 个 医生 。	tā jià le yī gè yīshēng.	She married a doctor.
挑战	to challenge; challenge	tiǎo zhàn	我 想 挑战 你 ！	wǒ xiǎng tiǎozhàn nǐ!	I want to challenge you!
死去	to die	sǐ qù	他 的 狗 死去 了 ， 他 很 伤心 。	tā de gǒu sǐqù le, tā hěn shāngxīn.	His dog died, and he is very sad.
上去	to go up; (after a verb) indicates upward movement	shàng qù	我 把 行李 搬 上去 了 。	wǒ bǎ xíngli bān shàngqù le.	I moved the luggage upstairs.
职业	occupation; profession	zhí yè	你 的 职业 是 什么 ？	nǐ de zhíyè shì shénme?	What is your occupation?
改	to change; to alter; to transform	gǎi	我 想 改 一下 这 个 句子 。	wǒ xiǎng gǎi yīxià zhè ge jùzi.	I want to change this sentence a bit.
地址	address	dì zhǐ	请 你 给 我 你 的 地址 。	qǐng nǐ gěi wǒ nǐ de dìzhǐ.	Please give me your address.
赚	to earn; to make a profit	zhuàn	他 工作 很 努力 ， 赚 了 很 多 钱 。	tā gōngzuò hěn nǔlì, zhuàn le hěn duō qián.	He works very hard and has earned a lot of money.
不少	quite a few; many	bù shǎo	我 有 不少 中国 朋友 。	wǒ yǒu bùshǎo Zhōngguó péngyou.	I have quite a few Chinese friends.
地狱	hell	dì yù	他 说 那 个 地方 像 地狱 一样 。	tā shuō nà ge dìfang xiàng dìyù yīyàng.	He said that place was like hell.
于是	so; therefore; thereupon	yú shì	我 很 累 ， 于是 就 去 睡觉 了 。	wǒ hěn lèi, yúshì jiù qù shuìjiào le.	I was very tired, so I went to sleep.
自我	self; oneself	zì wǒ	你 要 相信 自我 。	nǐ yào xiāngxìn zìwǒ.	You need to believe in yourself.
非	not; non-; un-	fēi	这 个 事 非 你 不 可以。	zhè ge shì fēi nǐ bù kěyǐ.	This is something that can only be done by you
对付	to deal with; to cope with	duì fu	我 不 知道 怎么 对付 他 。	wǒ bù zhīdào zěnme duìfu tā.	I don't know how to deal with him.
好事	good deed; good thing	hǎo shì	帮助 别人 是 好事 。	bāngzhù biérén shì hǎoshì.	Helping others is a good thing.
唔	(interjection of hesitation or disagreement)	wú	唔 ， 我 想想 。	wú, wǒ xiǎngxiang.	Hmm, let me think.
祈祷	to pray	qí dǎo	我们 只 能 祈祷 一切顺利 。	wǒmen zhǐ néng qídǎo yīqiè shùnlì.	We can only pray that everything goes smoothly.
编	to weave; to fabricate; to make up	biān	不要 编 故事 ！ 请 说 真相 ！	bùyào biān gùshi! Qǐng shuō zhēnxiàng!	Don't make up stories! Please tell the truth!
收拾	to tidy up; to pack; to repair	shōu shi	请 你 收拾 一下 你 的 房间 。	qǐng nǐ shōushi yīxià nǐ de fángjiān.	Please tidy up your room.
状态	state; condition; state of affairs	zhuàng tài	虽然 他 已经 很 老 了 ， 但 状态 还 不错 。	suīrán tā yǐjīng hěn lǎo le, dàn zhuàngtài hái bùcuò.	Although he is already very old, his condition is still not bad.
周围	surroundings; vicinity	zhōu wéi	我 家 周围 有 很 多 商店 。	wǒ jiā zhōuwéi yǒu hěn duō shāngdiàn.	There are many stores around my house.
报道	to report; report (news)	bào dào	我 在 报纸 上 看 到 了 这 个 报道 。	wǒ zài bàozhǐ shàng kàn dào le zhè ge bàodào.	I saw this report in the newspaper.
戏	play; drama; show	xì	今天 晚上 我 想 去 看 戏 。	jīntiān wǎnshang wǒ xiǎng qù kàn xì.	Tonight, I want to go see a show.
参与	to participate in; to be involved in	cān yǔ	我 想 参与 这 次 会议 。	wǒ xiǎng cānyù zhè cì huìyì.	I want to participate in this meeting.
彼此	each other; one another	bǐ cǐ	我们 要 彼此 帮助 。	wǒmen yào bǐcǐ bāngzhù.	We need to help each other.
荣幸	to be honored	róng xìng	很 荣幸 认识 你 ！	hěn róngxìng rènshi nǐ!	It's an honor to meet you!
到达	to arrive; to reach	dào dá	我们 明天 上午 到达 北京 。	wǒmen míngtiān shàngwǔ dàodá Běijīng.	We arrive in Beijing tomorrow morning.
爬	to crawl; to climb	pá	那 只 猫 爬 到 了 树 上 。	nà zhī māo pá dào le shù shàng.	That cat climbed up the tree.
赌	to bet; to gamble	dǔ	我 不 喜欢 赌 。	wǒ bù xǐhuan dǔ.	I don't like to gamble.
显示	to show; to display; to demonstrate	xiǎn shì	请 你 显示 一下 你 的 票 。	qǐng nǐ xiǎnshì yīxià nǐ de piào.	Please show your ticket.
立刻	immediately; at once	lì kè	请 你 立刻 来 这里 ！	qǐng nǐ lìkè lái zhèlǐ!	Please come here immediately!
绝不	absolutely not; definitely not	jué bù	我 绝不 会 忘记 你 。	wǒ juébù huì wàngjì nǐ.	I will absolutely not forget you.
舞台	stage; arena	wǔ tái	她 喜欢 在 舞台 上 表演 。	tā xǐhuan zài wǔtái shàng biǎoyǎn.	She likes to perform on stage.
吐	to spit; to vomit	tǔ	不要 在 这里 吐 ！	bùyào zài zhèlǐ tǔ!	Don't spit here!
配	to match; to be worthy of	pèi	这 个 红色 的 衣服 很 配 你 。	zhè ge hóngsè de yīfu hěn pèi nǐ.	These red clothes match you very well.
取消	to cancel; to abolish	qǔ xiāo	因为 下雨 ， 比赛 取消 了 。	yīnwèi xiàyǔ, bǐsài qǔxiāo le.	Because of the rain, the competition was cancelled.
离婚	to divorce	lí hūn	他们 两 个 人 离婚 了 。	tāmen liǎng ge rén líhūn le.	The two of them got divorced.
等待	to wait; to await	děng dài	我 在 这里 等待 我 的 朋友 。	wǒ zài zhèlǐ děngdài wǒ de péngyou.	I'm waiting here for my friend.
尽力	to try one's best	jìn lì	这 件 事 很 难 ， 但是 我 会 尽力 。	zhè jiàn shì hěn nán, dànshì wǒ huì jìnlì.	This matter is very difficult, but I will try my best.
十分	very; extremely; fully	shí fēn	我 对 你 十分 感谢 。	wǒ duì nǐ shífēn gǎnxiè.	I am extremely grateful to you.
尊重	to respect; to value	zūn zhòng	我们 要 尊重 老师 。	wǒmen yào zūnzhòng lǎoshī.	We need to respect teachers.
教授	professor	jiào shòu	他 是 一 位 大学 教授 。	tā shì yī wèi dàxué jiàoshòu.	He is a university professor.
超过	to surpass; to exceed	chāo guò	今天 的 天气 超过 了 三十 度 。	jīntiān de tiānqì chāoguò le sānshí dù.	Today's weather exceeded thirty degrees.
开车	to drive a car	kāi chē	我 爸爸 每天 开车 去 上班 。	wǒ bàba měitiān kāichē qù shàngbān.	My father drives to work every day.
仍	still; yet; as before	réng	虽然 很 晚 了 ， 他 仍 在 工作 。	suīrán hěn wǎn le, tā réng zài gōngzuò.	Although it's very late, he is still working.
寄	to send; to mail	jì	我 要 给 妈妈 寄 一 封 信 。	wǒ yào gěi māma jì yī fēng xìn.	I want to send a letter to my mother.
机器	machine	jī qì	这 个 机器 是 做 什么 的 ？	zhè ge jīqì shì zuò shénme de?	What is this machine for?
聊	to chat	liáo	我们 可以 聊 一下 吗 ？	wǒmen kěyǐ liáo yīxià ma?	Can we chat for a bit?
庆祝	to celebrate	qìng zhù	我们 要 庆祝 一下 他 的 生日 。	wǒmen yào qìngzhù yīxià tā de shēngrì.	We want to celebrate his birthday.
住手	to stop; to stay one's hand	zhù shǒu	住手 ！ 不要 打 ！	zhùshǒu! Bùyào dǎ!	Stop! Don't hit!
姑娘	young woman	gū niang	这 位 姑娘 是 谁 ？	zhè wèi gūniang shì shéi?	Who is this young lady?
同志	comrade	tóng zhì	这 位 同志 ， 请 问 …	zhè wèi tóngzhì, qǐngwèn…	Comrade, may I ask...?
军队	army; troops	jūn duì	他 的 哥哥 加入 了 军队 。	tā de gēge jiārù le jūnduì.	His older brother joined the army.
假装	to pretend; to feign	jiǎ zhuāng	他 假装 没有 看见 我 。	tā jiǎzhuāng méiyǒu kànjiàn wǒ.	He pretended not to see me.
想起	to recall; to remember; to think of	xiǎng qǐ	我 突然 想起 了 一 件 事 。	wǒ tūrán xiǎngqǐ le yī jiàn shì.	I suddenly remembered something.
拖	to drag; to pull; to delay	tuō	他 总是 把 事情 拖 到 最后 一 刻 。	tā zǒngshì bǎ shìqing tuō dào zuìhòu yī kè.	He always delays things until the last moment.
顺便	conveniently; in passing; on the way	shùn biàn	我 去 商店，顺便 给 你 买 瓶 水？	wǒ qù shāngdiàn, shùnbiàn gěi nǐ mǎi píng shuǐ?	I'm going to the store, shall I buy you a bottle of water while I'm at it?
风	wind	fēng	今天 有 风 。	jīntiān yǒu fēng.	It's windy today.
害	to do harm to; to cause trouble to	hài	不要 害怕 ， 我 不会 害 你 的 。	bùyào hàipà, wǒ bù huì hài nǐ de.	Don't be afraid; I won't harm you.
或是	or; perhaps	huò shì	他 可能 在 家 ， 或是 在 学校 。	tā kěnéng zài jiā, huòshì zài xuéxiào.	Perhaps he is at home, or perhaps at school.
修	to repair; to build; to study	xiū	我 的 手机 坏 了 ， 要 去 修 。	wǒ de shǒujī huài le, yào qù xiū.	My phone is broken; I need to get it repaired.
在乎	to care about; to mind	zài hu	我 不 在乎 别人 说 什么 。	wǒ bù zàihu biérén shuō shénme.	I don't care what other people say.
无聊	boring; bored	wú liáo	这 部 电影 很 无聊 。	zhè bù diànyǐng hěn wúliáo.	This movie is very boring.
状况	condition; state; situation	zhuàng kuàng	你 的 身体 状况 怎么样 ？	nǐ de shēntǐ zhuàngkuàng zěnmeyàng?	How is your physical condition?
目的	purpose; aim; goal	mù dì	你 来 这里 的 目的 是 什么 ？	nǐ lái zhèlǐ de mùdì shì shénme?	What is your purpose in coming here?
恶魔	demon; devil	è mó	他 看上去 像 一 个 恶魔 。	tā kànshangqu xiàng yī gè èmó.	He looks like a demon.
确保	to ensure; to guarantee	què bǎo	请 确保 门 关 好 了 。	qǐng quèbǎo mén guān hǎo le.	Please ensure the door is closed properly.
心脏	heart	xīn zàng	医生 建议 他 做 心脏 手术 。	yīshēng jiànyì tā zuò xīnzàng shǒushù.	The doctor suggested he have heart surgery.
似的	seemingly; as if; like	shì de	他 看上去 很 累 似的 。	tā kànshangqu hěn lèi shìde.	He looks very tired.
舞会	dance party; ball	wǔ huì	今天 晚上 学校 有 一 个 舞会 。	jīntiān wǎnshang xuéxiào yǒu yī gè wǔhuì.	There is a dance party at school tonight.
急	urgent; anxious; impatient	jí	你 不要 急 ， 慢慢 说 。	nǐ bùyào jí, mànmàn shuō.	Don't be anxious; speak slowly.
吹	to blow; to puff; to brag	chuī	风 吹 得 很 大 。	fēng chuī de hěn dà.	The wind is blowing very hard.
耍	to play with;	shuǎ	不要 耍 我 ！	bùyào shuǎ wǒ!	Don't play with me!/Don't mess with me!
家族	family; clan	jiā zú	他 的 家族 很 大 。	tā de jiāzú hěn dà.	His family is very large.
战斗	to fight; battle; combat	zhàn dòu	他们 的 军队 在 战斗 。	tāmen de jūnduì zài zhàndòu.	Their army is in battle.
复杂	complicated; complex	fù zá	这 个 句子 太 复杂 了 ， 我 不 懂 什么 意思 。	zhè ge jùzi tài fùzá le, wǒ bù dǒng shénme yìsi.	This sentence is too complex; I don't understand its meaning.
社会	society	shè huì	我们 都 是 社会 的 一员 。	wǒmen dōu shì shèhuì de yīyuán.	We are all members of society.
烦	annoyed; irritated; to bother	fán	小 妹妹 一直 在 烦 她 哥哥 。	xiǎo mèimei yīzhí zài fán tā gēge.	The little sister is constantly bothering her older brother.
故意	deliberately; on purpose	gù yì	他 故意 不 回答 我 的 问题 。	tā gùyì bù huídá wǒ de wèntí.	He deliberately didn't answer my question.
调	to shift; to adjust; to transfer	diào	把 空调 调 到 二十五 度 。	bǎ kōngtiáo diào dào èrshíwǔ dù.	Adjust the air conditioning to 25 degrees.
心里	in one's heart; in one's mind	xīn li	他 一直 把 这 件 事 藏 在 心里 ， 没有 告诉 任何 人 。	tā yīzhí bǎ zhè jiàn shì cáng zài xīnli, méiyǒu gàosu rènhé rén.	He kept this matter hidden in his heart all along, without telling anyone.
展示	to show; to reveal; to display	zhǎn shì	他 向 朋友 们 展示 了 他 的 新 手机 。	tā xiàng péngyoumen zhǎnshì le tā de xīn shǒujī.	He showed his new phone to his friends.
起诉	to sue; to bring a lawsuit against	qǐ sù	他 要 起诉 那 个 人 。	tā yào qǐsù nà ge rén.	He wants to sue that person.
国王	king	guó wáng	这 个 国家 的 国王 很 有名 。	zhè ge guójiā de guówáng hěn yǒumíng.	This country's king is very famous.
长大	to grow up	zhǎng dà	我 在 北京 长大 。	wǒ zài Běijīng zhǎngdà.	I grew up in Beijing.
类	kind; type; category	lèi	你 喜欢 哪 类 的 电影 ？	nǐ xǐhuan nǎ lèi de diànyǐng?	What kind of movies do you like?
交给	to hand over; to give to	jiāo gěi	请 你 把 这 个 交给 老师 。	qǐng nǐ bǎ zhè ge jiāogěi lǎoshī.	Please give this to the teacher.
尿	urine; to urinate	niào	我 要 去 尿尿 。	wǒ yào qù niàoniào.	I want to go pee. (very informal)
项目	project; item	xiàng mù	这 个 项目 接近 完成 了 。	zhè ge xiàngmù jiējìn wánchéng le.	This project is nearly completed.
集中	to concentrate; to focus	jí zhōng	请 大家 集中 精神 ， 现在 要 考试 了！	qǐng dàjiā jízhōng jīngshén, xiànzài yào kǎoshì le!	Please everyone concentrate; it's time for the test!
实话	truth	shí huà	我 要 听 实话 ， 不要 说谎 ！	wǒ yào tīng shíhuà, bùyào shuōhuǎng!	I want to hear the truth; don't lie!
表情	expression; look	biǎo qíng	你 的 表情 很 好笑 。	nǐ de biǎoqíng hěn hǎoxiào.	Your expression is funny.
冒险	to take a risk; adventure	mào xiǎn	去 一个 人 不 认识 的 地方 是 一 个 冒险。	qù yí gè rén bú rènshi de dìfang shì yí ge màoxiǎn	Going a place someone does not know is an adventure
好处	benefit; advantage	hǎo chu	这 对 你 有 什么 好处 ？	zhè duì nǐ yǒu shénme hǎochu?	What good will this do you?/What's the benefit of this for you?
海	sea; ocean	hǎi	他 住 在 海边。	tā zhù zài hǎibiān	he lives near the sea.
胜利	victory; to win a victory	shèng lì	我们 的 队 胜利 了 ！	wǒmen de duì shènglì le!	Our team won!
竟然	unexpectedly; to one's surprise	jìng rán	他 竟然 不 认识 我 了 ！	tā jìngrán bù rènshi wǒ le!	He unexpectedly doesn't recognize me anymore!
普通	ordinary; common; general	pǔ tōng	她 穿 得 很 普通 。	tā chuān de hěn pǔtōng.	She dresses very ordinarily.
官	official; government official	guān	他 的 工作 是 政府 官员 。	tā de gōngzuò shì zhèngfǔ guānyuán.	His job is a government official.
印象	impression	yìn xiàng	你 给 我 的 印象 很 好 。	nǐ gěi wǒ de yìnxiàng hěn hǎo.	You gave me a very good impression.
出生	to be born	chū shēng	我 一九九零 年 出生 。	wǒ yījiǔjiǔlíng nián chūshēng.	I was born in 1990.
进展	progress; to make progress	jìn zhǎn	这 个 项目 有 什么 进展 吗 ？	zhè ge xiàngmù yǒu shénme jìnzhǎn ma?	Is there any progress on this project?
估计	to estimate; to reckon	gū jì	我 估计 明天 会 下雨 。	wǒ gūjì míngtiān huì xiàyǔ.	I estimate it will rain tomorrow.
乐	happy; cheerful; to laugh	lè	他 的 话 让 大家 都 乐 了 。	tā de huà ràng dàjiā dōu lè le.	His words made everyone laugh.
地点	place; site; location	dì diǎn	我们 见面 的 地点 在 哪里 ？	wǒmen jiànmiàn de dìdiǎn zài nǎli?	Where is the location for our meeting?
轻松	light; relaxed	qīng sōng	周末 在 家 很 轻松 。	zhōumò zài jiā hěn qīngsōng.	It's very relaxing to be at home on the weekend.
乐意	to be willing to; to be happy to	lè yì	我 很 乐意 帮助 你 。	wǒ hěn lèyì bāngzhù nǐ.	I am very happy to help you.
右	right	yòu	请 你 往 右 走 。	qǐng nǐ wǎng yòu zǒu.	Please go right.
举	to lift; to raise; to hold up	jǔ	请 你 把 手 举 起来 。	qǐng nǐ bǎ shǒu jǔ qǐlái.	Please raise your hand.
期待	to look forward to; to expect	qī dài	我 很 期待 我们 的 下 次 见面 。	wǒ hěn qīdài wǒmen de xiàcì jiànmiàn.	I'm looking forward to our next meeting.
小伙子	young man; lad; young fellow	xiǎo huo zi	那 个 小伙子 很 帅 。	nà ge xiǎohuozi hěn shuài.	That young man is very handsome.
保险	insurance; safe; secure	bǎo xiǎn	还是 保险 一点儿 好 。	háishi bǎoxiǎn yīdiǎnr hǎo.	It's better to be safe/on the safe side.
落	to fall; to drop; to decline	luò	他 的 学习 成绩 落后 了 。	tā de xuéxí chéngjì luòhòu le.	His grades have fallen behind.
难以置信	unbelievable; incredible	nán yǐ zhì xìn	这 个 消息 真 让 人 难以置信 ！	zhè ge xiāoxi zhēn ràng rén nányǐzhìxìn!	This news is truly unbelievable!
录	to record; to copy; to hire	lù	请 你 把 我 说 的 话 录 下来 。	qǐng nǐ bǎ wǒ shuō de huà lù xiàlái.	Please record what I say.
单独	alone; by oneself; on one's own	dān dú	我 需要 一 个 单独 的 房间 。	wǒ xūyào yī gè dāndú de fángjiān.	I need a separate/private room.
相反	opposite, reverse	xiāng fǎn	你 说 的 和 我 想 的 相反 。	nǐ shuō de hé wǒ xiǎng de xiāngfǎn.	What you said is the opposite of what I think.
队长	captain; team leader	duì zhǎng	他 是 我们 队 的 队长 。	tā shì wǒmen duì de duìzhǎng.	He is the captain of our team.
著名	famous; well-known	zhù míng	这 是 一 个 很 著名 的 地方 。	zhè shì yī gè hěn zhùmíng de dìfang.	This is a very famous place.
理	reason; logic; to pay attention to	lǐ	我 不 想 理 你 了 ！	wǒ bù xiǎng lǐ nǐ le!	I don't want to talk to you anymore! / I don't even want to think about you!
日本	Japan	Rì běn	我 想 去 日本 旅行 。	wǒ xiǎng qù Rìběn lǚxíng.	I want to go to Japan to travel.
专家	expert; specialist	zhuān jiā	他 是 一 位 电脑 专家 。	tā shì yī wèi diànnǎo zhuānjiā.	He is a computer expert.
为止	until; up to	wéi zhǐ	到 目前 为止 ， 我 还 没有 去 过 美国 。	dào mùqián wéizhǐ, wǒ hái méiyǒu qù guo Měiguó.	Up to now, I haven't been to America yet.
旅馆	hotel	lǚ guǎn	这 个 旅馆 很 贵 吗 ？	zhè ge lǚguǎn hěn guì ma?	Is this hotel very expensive?
邪恶	evil; wicked	xié è	那 个 人 看上去 很 邪恶 。	nà ge rén kànshangqu hěn xié'è.	That person looks very evil.
赶快	quickly; at once	gǎn kuài	你 赶快 来 ！	nǐ gǎnkuài lái!	Come quickly!
不知	not to know	bù zhī	我 不知 他 的 名字 。	wǒ bùzhī tā de míngzi.	I don't know his name.
更加	more; even more	gèng jiā	考试 快 到 了 ， 同学 们 都 更加 努力 地 复习 。	kǎoshì kuài dào le, tóngxuémen dōu gèngjiā nǔlì de fùxí.	The exam is approaching, and the classmates are all studying harder.
挖	to dig; to excavate	wā	工人 们 在 挖 路 。	gōngrénmen zài wā lù.	The workers are digging up the road.
好几	quite a few; several	hǎo jǐ	我 有 好几 个 问题 想 问 你 。	wǒ yǒu hǎojǐ ge wèntí xiǎng wèn nǐ.	I have several questions I want to ask you.
风格	style; manner	fēng gé	我 喜欢 这 个 房间 的 风格 。	wǒ xǐhuan zhè ge fángjiān de fēnggé.	I like the style of this room.
免费	free of charge	miǎn fèi	这 个 饭馆 的 水 是 免费 的 。	zhè ge fànguǎn de shuǐ shì miǎnfèi de.	The water at this restaurant is free.
伤心	sad; heartbroken	shāng xīn	他 的 狗 死 了 ， 他 很 伤心 。	tā de gǒu sǐ le, tā hěn shāngxīn.	His dog died, and he is very sad.
机器	machine	jī qì	这 个 机器 不 可以 用 水 洗 。	zhè ge jīqì bù kěyǐ yòng shuǐ xǐ.	You cannot wash this machine with water.
款式	style; design; pattern	kuǎn shì	我 不 喜欢 这 种 款式 的 手机 。	wǒ bù xǐhuan zhè zhǒng kuǎnshì de shǒujī.	I don't like this type of phone.
塞	to stuff; to squeeze in; to fill	sāi	我 的 书包 里 塞 满 了 书 。	wǒ de shūbāo lǐ sāi mǎn le shū.	My schoolbag is stuffed full of books.
